,主_数值攻击力,主_百分比攻击力,主_元素伤害,主_暴击率,主_暴击伤害,副_数值攻击力,副_百分比攻击力,副_暴击率,副_暴击伤害,主_百分比攻击力_次数,主_元素伤害_次数,主_暴击率_次数,主_暴击伤害_次数,副_数值攻击力_次数,副_百分比攻击力_次数,副_暴击率_次数,副_暴击伤害_次数,总_数值攻击力,总_百分比攻击力,总_元素伤害,总_暴击率,总_暴击伤害,总_额外增伤,期望伤害,总攻击力倍数,暴击率推导的总攻击力倍数
11642,311,0.466,0.466,0.311,0.0,68.0,0.4,0.264,1.452,1.0,1.0,1.0,0.0,4.0,8.0,8.0,22.0,379.0,0.8660000000000001,0.466,0.9359999999999999,2.112,0.886,10718.38225178624,2.32819512195122,2.2346858119658117
11665,311,0.466,0.466,0.311,0.0,68.0,0.45,0.33,1.254,1.0,1.0,1.0,0.0,4.0,9.0,10.0,19.0,379.0,0.916,0.466,1.002,1.914,0.886,10717.47729648,2.378195121951219,2.2815230339321357
14865,311,0.466,0.466,0.0,0.622,68.0,0.5,0.627,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,10.0,19.0,9.0,379.0,0.966,0.466,0.988,1.8760000000000001,0.886,10715.56743209216,2.4281951219512194,2.270990769230769
11684,311,0.466,0.466,0.311,0.0,68.0,0.5,0.264,1.32,1.0,1.0,1.0,0.0,4.0,10.0,8.0,20.0,379.0,0.966,0.466,0.9359999999999999,1.98,0.886,10714.7863396096,2.4281951219512194,2.2346858119658117
14842,311,0.466,0.466,0.0,0.622,68.0,0.45,0.561,0.792,1.0,1.0,0.0,1.0,4.0,9.0,17.0,12.0,379.0,0.916,0.466,0.9220000000000002,2.0740000000000003,0.886,10710.960011040963,2.378195121951219,2.225735010845987
14756,311,0.466,0.466,0.0,0.622,68.0,0.25,0.627,0.924,1.0,1.0,0.0,1.0,4.0,5.0,19.0,14.0,379.0,0.716,0.466,0.988,2.2060000000000004,0.886,10710.62898786496,2.1781951219512194,2.270990769230769
14863,311,0.466,0.466,0.0,0.622,68.0,0.5,0.561,0.726,1.0,1.0,0.0,1.0,4.0,10.0,17.0,11.0,379.0,0.966,0.466,0.9220000000000002,2.008,0.886,10707.63633919232,2.4281951219512194,2.225735010845987
11621,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.264,1.518,1.0,1.0,1.0,0.0,4.0,7.0,8.0,23.0,379.0,0.8160000000000001,0.466,0.9359999999999999,2.178,0.886,10705.849534946561,2.2781951219512195,2.2346858119658117
14777,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.5940000000000001,0.924,1.0,1.0,0.0,1.0,4.0,6.0,18.0,14.0,379.0,0.766,0.466,0.9550000000000001,2.2060000000000004,0.886,10705.631024193604,2.2281951219512197,2.2474115183246073
11581,311,0.466,0.466,0.311,0.0,68.0,0.25,0.33,1.518,1.0,1.0,1.0,0.0,4.0,5.0,10.0,23.0,379.0,0.716,0.466,1.002,2.178,0.886,10705.48173296,2.1781951219512194,2.2815230339321357
14820,311,0.466,0.466,0.0,0.622,68.0,0.4,0.561,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,8.0,17.0,13.0,379.0,0.8660000000000001,0.466,0.9220000000000002,2.14,0.886,10704.872799385603,2.32819512195122,2.225735010845987
14884,311,0.466,0.466,0.0,0.622,68.0,0.55,0.5940000000000001,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,11.0,18.0,9.0,379.0,1.016,0.466,0.9550000000000001,1.8760000000000001,0.886,10698.948986545602,2.4781951219512197,2.2474115183246073
11704,311,0.466,0.466,0.311,0.0,68.0,0.55,0.264,1.254,1.0,1.0,1.0,0.0,4.0,11.0,8.0,19.0,379.0,1.016,0.466,0.9359999999999999,1.914,0.886,10698.657710593281,2.4781951219512197,2.2346858119658117
11705,311,0.466,0.466,0.311,0.0,68.0,0.55,0.29700000000000004,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,11.0,9.0,18.0,379.0,1.016,0.466,0.9690000000000001,1.848,0.886,10695.622308563841,2.4781951219512197,2.257193725490196
11686,311,0.466,0.466,0.311,0.0,68.0,0.5,0.33,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,10.0,10.0,18.0,379.0,0.966,0.466,1.002,1.848,0.886,10694.95860736,2.4281951219512194,2.2815230339321357
14883,311,0.466,0.466,0.0,0.622,68.0,0.55,0.561,0.66,1.0,1.0,0.0,1.0,4.0,11.0,17.0,10.0,379.0,1.016,0.466,0.9220000000000002,1.942,0.886,10694.901783839683,2.4781951219512197,2.225735010845987
11580,311,0.466,0.466,0.311,0.0,68.0,0.25,0.29700000000000004,1.584,1.0,1.0,1.0,0.0,4.0,5.0,9.0,24.0,379.0,0.716,0.466,0.9690000000000001,2.244,0.886,10693.475963011522,2.1781951219512194,2.257193725490196
11683,311,0.466,0.466,0.311,0.0,68.0,0.5,0.231,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,10.0,7.0,21.0,379.0,0.966,0.466,0.903,2.0460000000000003,0.886,10693.22368078816,2.4281951219512194,2.214198981173865
11662,311,0.466,0.466,0.311,0.0,68.0,0.45,0.231,1.452,1.0,1.0,1.0,0.0,4.0,9.0,7.0,22.0,379.0,0.916,0.466,0.903,2.112,0.886,10692.23201021952,2.378195121951219,2.214198981173865
14798,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.561,0.924,1.0,1.0,0.0,1.0,4.0,7.0,17.0,14.0,379.0,0.8160000000000001,0.466,0.9220000000000002,2.2060000000000004,0.886,10689.374704226244,2.2781951219512195,2.225735010845987
14885,311,0.466,0.466,0.0,0.622,68.0,0.55,0.627,0.528,1.0,1.0,0.0,1.0,4.0,11.0,19.0,8.0,379.0,1.016,0.466,0.988,1.8099999999999998,0.886,10686.301478089601,2.4781951219512197,2.270990769230769
11703,311,0.466,0.466,0.311,0.0,68.0,0.55,0.231,1.32,1.0,1.0,1.0,0.0,4.0,11.0,7.0,20.0,379.0,1.016,0.466,0.903,1.98,0.886,10684.998401460802,2.4781951219512197,2.214198981173865
11600,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.264,1.584,1.0,1.0,1.0,0.0,4.0,6.0,8.0,24.0,379.0,0.766,0.466,0.9359999999999999,2.244,0.886,10683.763036154882,2.2281951219512197,2.2346858119658117
11641,311,0.466,0.466,0.311,0.0,68.0,0.4,0.231,1.518,1.0,1.0,1.0,0.0,4.0,8.0,7.0,23.0,379.0,0.8660000000000001,0.466,0.903,2.178,0.886,10682.02338975488,2.32819512195122,2.214198981173865
14734,311,0.466,0.466,0.0,0.622,68.0,0.2,0.627,0.99,1.0,1.0,0.0,1.0,4.0,4.0,19.0,15.0,379.0,0.666,0.466,0.988,2.2720000000000002,0.886,10679.38765617152,2.128195121951219,2.270990769230769
14862,311,0.466,0.466,0.0,0.622,68.0,0.5,0.528,0.792,1.0,1.0,0.0,1.0,4.0,10.0,16.0,12.0,379.0,0.966,0.466,0.889,2.0740000000000003,0.886,10679.133974083523,2.4281951219512194,2.2061731383577055
14755,311,0.466,0.466,0.0,0.622,68.0,0.25,0.5940000000000001,0.99,1.0,1.0,0.0,1.0,4.0,5.0,18.0,15.0,379.0,0.716,0.466,0.9550000000000001,2.2720000000000002,0.886,10677.724285043201,2.1781951219512194,2.2474115183246073
11560,311,0.466,0.466,0.311,0.0,68.0,0.2,0.33,1.584,1.0,1.0,1.0,0.0,4.0,4.0,10.0,24.0,379.0,0.666,0.466,1.002,2.244,0.886,10676.96526208,2.128195121951219,2.2815230339321357
14841,311,0.466,0.466,0.0,0.622,68.0,0.45,0.528,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,9.0,16.0,13.0,379.0,0.916,0.466,0.889,2.14,0.886,10675.0340267472,2.378195121951219,2.2061731383577055
14882,311,0.466,0.466,0.0,0.622,68.0,0.55,0.528,0.726,1.0,1.0,0.0,1.0,4.0,11.0,16.0,11.0,379.0,1.016,0.466,0.889,2.008,0.886,10674.159869971842,2.4781951219512197,2.2061731383577055
11723,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.264,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,12.0,8.0,18.0,379.0,1.066,0.466,0.9359999999999999,1.848,0.886,10672.975299624959,2.5281951219512195,2.2346858119658117
14902,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.561,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,12.0,17.0,9.0,379.0,1.066,0.466,0.9220000000000002,1.8760000000000001,0.886,10672.756344983041,2.5281951219512195,2.225735010845987
14903,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.5940000000000001,0.528,1.0,1.0,0.0,1.0,4.0,12.0,18.0,8.0,379.0,1.066,0.466,0.9550000000000001,1.8099999999999998,0.886,10668.369432336001,2.5281951219512195,2.2474115183246073
11722,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.231,1.254,1.0,1.0,1.0,0.0,4.0,12.0,7.0,19.0,379.0,1.066,0.466,0.903,1.914,0.886,10667.55617223744,2.5281951219512195,2.214198981173865
14776,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.561,0.99,1.0,1.0,0.0,1.0,4.0,6.0,17.0,15.0,379.0,0.766,0.466,0.9220000000000002,2.2720000000000002,0.886,10664.465725562883,2.2281951219512197,2.225735010845987
11620,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.231,1.584,1.0,1.0,1.0,0.0,4.0,7.0,7.0,24.0,379.0,0.8160000000000001,0.466,0.903,2.244,0.886,10662.597819394243,2.2781951219512195,2.214198981173865
11706,311,0.466,0.466,0.311,0.0,68.0,0.55,0.33,1.122,1.0,1.0,1.0,0.0,4.0,11.0,10.0,17.0,379.0,1.016,0.466,1.002,1.782,0.886,10662.23288624,2.4781951219512197,2.2815230339321357
14819,311,0.466,0.466,0.0,0.622,68.0,0.4,0.528,0.924,1.0,1.0,0.0,1.0,4.0,8.0,16.0,14.0,379.0,0.8660000000000001,0.466,0.889,2.2060000000000004,0.886,10661.860027962883,2.32819512195122,2.2061731383577055
11724,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.29700000000000004,1.122,1.0,1.0,1.0,0.0,4.0,12.0,9.0,17.0,379.0,1.066,0.466,0.9690000000000001,1.782,0.886,10661.362883794562,2.5281951219512195,2.257193725490196
14901,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.528,0.66,1.0,1.0,0.0,1.0,4.0,12.0,16.0,10.0,379.0,1.066,0.466,0.889,1.942,0.886,10660.11171441216,2.5281951219512195,2.2061731383577055
11559,311,0.466,0.466,0.311,0.0,68.0,0.2,0.29700000000000004,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,4.0,9.0,25.0,379.0,0.666,0.466,0.9690000000000001,2.3100000000000005,0.886,10658.501089724803,2.128195121951219,2.257193725490196
11682,311,0.466,0.466,0.311,0.0,68.0,0.5,0.198,1.452,1.0,1.0,1.0,0.0,4.0,10.0,6.0,22.0,379.0,0.966,0.466,0.8700000000000001,2.112,0.886,10655.303142860801,2.4281951219512194,2.195963218390805
11702,311,0.466,0.466,0.311,0.0,68.0,0.55,0.198,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,11.0,6.0,21.0,379.0,1.016,0.466,0.8700000000000001,2.0460000000000003,0.886,10654.644381166403,2.4781951219512197,2.195963218390805
11579,311,0.466,0.466,0.311,0.0,68.0,0.25,0.264,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,5.0,8.0,25.0,379.0,0.716,0.466,0.9359999999999999,2.3100000000000005,0.886,10652.122755411201,2.1781951219512194,2.2346858119658117
11661,311,0.466,0.466,0.311,0.0,68.0,0.45,0.198,1.518,1.0,1.0,1.0,0.0,4.0,9.0,6.0,23.0,379.0,0.916,0.466,0.8700000000000001,2.178,0.886,10647.081786715202,2.378195121951219,2.195963218390805
14904,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.627,0.462,1.0,1.0,0.0,1.0,4.0,12.0,19.0,7.0,379.0,1.066,0.466,0.988,1.744,0.886,10646.95097647104,2.5281951219512195,2.270990769230769
11721,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.198,1.32,1.0,1.0,1.0,0.0,4.0,12.0,6.0,20.0,379.0,1.066,0.466,0.8700000000000001,1.98,0.886,10645.105501632,2.5281951219512195,2.195963218390805
14920,311,0.466,0.466,0.0,0.622,68.0,0.65,0.561,0.528,1.0,1.0,0.0,1.0,4.0,13.0,17.0,8.0,379.0,1.116,0.466,0.9220000000000002,1.8099999999999998,0.886,10641.2000226224,2.5781951219512194,2.225735010845987
11740,311,0.466,0.466,0.311,0.0,68.0,0.65,0.231,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,13.0,7.0,18.0,379.0,1.116,0.466,0.903,1.848,0.886,10640.896993118082,2.5781951219512194,2.214198981173865
14733,311,0.466,0.466,0.0,0.622,68.0,0.2,0.5940000000000001,1.056,1.0,1.0,0.0,1.0,4.0,4.0,18.0,16.0,379.0,0.666,0.466,0.9550000000000001,2.338,0.886,10640.069830332799,2.128195121951219,2.2474115183246073
14797,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.528,0.99,1.0,1.0,0.0,1.0,4.0,7.0,16.0,15.0,379.0,0.8160000000000001,0.466,0.889,2.2720000000000002,0.886,10639.611977730563,2.2781951219512195,2.2061731383577055
8545,311,0.932,0.466,0.0,0.0,68.0,0.15000000000000002,0.561,1.1880000000000002,2.0,1.0,0.0,0.0,4.0,3.0,17.0,18.0,379.0,1.082,0.466,0.9220000000000002,1.848,0.886,10638.72333315584,2.544195121951219,2.225735010845987
11741,311,0.466,0.466,0.311,0.0,68.0,0.65,0.264,1.122,1.0,1.0,1.0,0.0,4.0,13.0,8.0,17.0,379.0,1.116,0.466,0.9359999999999999,1.782,0.886,10637.73910670464,2.5781951219512194,2.2346858119658117
14919,311,0.466,0.466,0.0,0.622,68.0,0.65,0.528,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,13.0,16.0,9.0,379.0,1.116,0.466,0.889,1.8760000000000001,0.886,10636.98950740448,2.5781951219512194,2.2061731383577055
14881,311,0.466,0.466,0.0,0.622,68.0,0.55,0.495,0.792,1.0,1.0,0.0,1.0,4.0,11.0,15.0,12.0,379.0,1.016,0.466,0.8560000000000001,2.0740000000000003,0.886,10636.723244942083,2.4781951219512197,2.1889704672897197
14861,311,0.466,0.466,0.0,0.622,68.0,0.5,0.495,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,10.0,15.0,13.0,379.0,0.966,0.466,0.8560000000000001,2.14,0.886,10634.273729868803,2.4281951219512194,2.1889704672897197
11599,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.231,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,6.0,7.0,25.0,379.0,0.766,0.466,0.903,2.3100000000000005,0.886,10633.955299137604,2.2281951219512197,2.214198981173865
8546,311,0.932,0.466,0.0,0.0,68.0,0.15000000000000002,0.5940000000000001,1.122,2.0,1.0,0.0,0.0,4.0,3.0,18.0,17.0,379.0,1.082,0.466,0.9550000000000001,1.782,0.886,10630.6730420384,2.544195121951219,2.2474115183246073
14900,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.495,0.726,1.0,1.0,0.0,1.0,4.0,12.0,15.0,11.0,379.0,1.066,0.466,0.8560000000000001,2.008,0.886,10630.435540623363,2.5281951219512195,2.1889704672897197
14754,311,0.466,0.466,0.0,0.622,68.0,0.25,0.561,1.056,1.0,1.0,0.0,1.0,4.0,5.0,17.0,16.0,379.0,0.716,0.466,0.9220000000000002,2.338,0.886,10630.14586339552,2.1781951219512194,2.225735010845987
11640,311,0.466,0.466,0.311,0.0,68.0,0.4,0.198,1.584,1.0,1.0,1.0,0.0,4.0,8.0,6.0,24.0,379.0,0.8660000000000001,0.466,0.8700000000000001,2.244,0.886,10629.980312729604,2.32819512195122,2.195963218390805
8544,311,0.932,0.466,0.0,0.0,68.0,0.15000000000000002,0.528,1.254,2.0,1.0,0.0,0.0,4.0,3.0,16.0,19.0,379.0,1.082,0.466,0.889,1.914,0.886,10629.634294797439,2.544195121951219,2.2061731383577055
14921,311,0.466,0.466,0.0,0.622,68.0,0.65,0.5940000000000001,0.462,1.0,1.0,0.0,1.0,4.0,13.0,18.0,7.0,379.0,1.116,0.466,0.9550000000000001,1.744,0.886,10628.0421625664,2.5781951219512194,2.2474115183246073
11739,311,0.466,0.466,0.311,0.0,68.0,0.65,0.198,1.254,1.0,1.0,1.0,0.0,4.0,13.0,6.0,19.0,379.0,1.116,0.466,0.8700000000000001,1.914,0.886,10626.686504257601,2.5781951219512194,2.195963218390805
14840,311,0.466,0.466,0.0,0.622,68.0,0.45,0.495,0.924,1.0,1.0,0.0,1.0,4.0,9.0,15.0,14.0,379.0,0.916,0.466,0.8560000000000001,2.2060000000000004,0.886,10623.086995403522,2.378195121951219,2.1889704672897197
11725,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.33,1.056,1.0,1.0,1.0,0.0,4.0,12.0,10.0,16.0,379.0,1.066,0.466,1.002,1.716,0.886,10619.300133120001,2.5281951219512195,2.2815230339321357
11742,311,0.466,0.466,0.311,0.0,68.0,0.65,0.29700000000000004,1.056,1.0,1.0,1.0,0.0,4.0,13.0,9.0,16.0,379.0,1.116,0.466,0.9690000000000001,1.716,0.886,10617.212845017282,2.5781951219512194,2.257193725490196
14918,311,0.466,0.466,0.0,0.622,68.0,0.65,0.495,0.66,1.0,1.0,0.0,1.0,4.0,13.0,15.0,10.0,379.0,1.116,0.466,0.8560000000000001,1.942,0.886,10615.41061691264,2.5781951219512194,2.1889704672897197
11558,311,0.466,0.466,0.311,0.0,68.0,0.2,0.264,1.7160000000000002,1.0,1.0,1.0,0.0,4.0,4.0,8.0,26.0,379.0,0.666,0.466,0.9359999999999999,2.3760000000000003,0.886,10610.92869271552,2.128195121951219,2.2346858119658117
15122,311,0.466,0.466,0.0,0.622,85.0,0.35000000000000003,0.627,0.726,1.0,1.0,0.0,1.0,5.0,7.0,19.0,11.0,396.0,0.8160000000000001,0.466,0.988,2.008,0.886,10608.78226659328,2.298926829268293,2.270990769230769
14775,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.528,1.056,1.0,1.0,0.0,1.0,4.0,6.0,16.0,16.0,379.0,0.766,0.466,0.889,2.338,0.886,10608.289876050241,2.2281951219512197,2.2061731383577055
11701,311,0.466,0.466,0.311,0.0,68.0,0.55,0.165,1.452,1.0,1.0,1.0,0.0,4.0,11.0,5.0,22.0,379.0,1.016,0.466,0.837,2.112,0.886,10607.595649710081,2.4781951219512197,2.180244778972521
11720,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.165,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,12.0,5.0,21.0,379.0,1.066,0.466,0.837,2.0460000000000003,0.886,10605.623287808641,2.5281951219512195,2.180244778972521
8547,311,0.932,0.466,0.0,0.0,68.0,0.15000000000000002,0.627,1.056,2.0,1.0,0.0,0.0,4.0,3.0,19.0,16.0,379.0,1.082,0.466,0.988,1.716,0.886,10605.48342144512,2.544195121951219,2.270990769230769
11757,311,0.466,0.466,0.311,0.0,68.0,0.7000000000000001,0.231,1.122,1.0,1.0,1.0,0.0,4.0,14.0,7.0,17.0,379.0,1.1660000000000001,0.466,0.903,1.782,0.886,10605.020864102722,2.62819512195122,2.214198981173865
15100,311,0.466,0.466,0.0,0.622,85.0,0.30000000000000004,0.627,0.792,1.0,1.0,0.0,1.0,5.0,6.0,19.0,12.0,396.0,0.766,0.466,0.988,2.0740000000000003,0.886,10604.843002835842,2.2489268292682927,2.270990769230769
14936,311,0.466,0.466,0.0,0.622,68.0,0.7000000000000001,0.528,0.528,1.0,1.0,0.0,1.0,4.0,14.0,16.0,8.0,379.0,1.1660000000000001,0.466,0.889,1.8099999999999998,0.886,10604.793248948803,2.62819512195122,2.2061731383577055
11943,311,0.466,0.466,0.311,0.0,85.0,0.35000000000000003,0.29700000000000004,1.3860000000000001,1.0,1.0,1.0,0.0,5.0,7.0,9.0,21.0,396.0,0.8160000000000001,0.466,0.9690000000000001,2.0460000000000003,0.886,10604.053669287683,2.298926829268293,2.257193725490196
11619,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.198,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,7.0,6.0,25.0,379.0,0.8160000000000001,0.466,0.8700000000000001,2.3100000000000005,0.886,10603.998720904003,2.2781951219512195,2.195963218390805
8571,311,0.932,0.466,0.0,0.0,68.0,0.2,0.561,1.122,2.0,1.0,0.0,0.0,4.0,4.0,17.0,17.0,379.0,1.1320000000000001,0.466,0.9220000000000002,1.782,0.886,10603.665021418561,2.5941951219512194,2.225735010845987
8543,311,0.932,0.466,0.0,0.0,68.0,0.15000000000000002,0.495,1.32,2.0,1.0,0.0,0.0,4.0,3.0,15.0,20.0,379.0,1.082,0.466,0.8560000000000001,1.98,0.886,10603.405926963202,2.544195121951219,2.1889704672897197
14818,311,0.466,0.466,0.0,0.622,68.0,0.4,0.495,0.99,1.0,1.0,0.0,1.0,4.0,8.0,15.0,15.0,379.0,0.8660000000000001,0.466,0.8560000000000001,2.2720000000000002,0.886,10603.163041546242,2.32819512195122,2.1889704672897197
8570,311,0.932,0.466,0.0,0.0,68.0,0.2,0.528,1.1880000000000002,2.0,1.0,0.0,0.0,4.0,4.0,16.0,18.0,379.0,1.1320000000000001,0.466,0.889,1.848,0.886,10603.13544076608,2.5941951219512194,2.2061731383577055
15144,311,0.466,0.466,0.0,0.622,85.0,0.4,0.627,0.66,1.0,1.0,0.0,1.0,5.0,8.0,19.0,10.0,396.0,0.8660000000000001,0.466,0.988,1.942,0.886,10602.63698273472,2.3489268292682928,2.270990769230769
11964,311,0.466,0.466,0.311,0.0,85.0,0.4,0.29700000000000004,1.32,1.0,1.0,1.0,0.0,5.0,8.0,9.0,20.0,396.0,0.8660000000000001,0.466,0.9690000000000001,1.98,0.886,10602.360900398402,2.3489268292682928,2.257193725490196
11681,311,0.466,0.466,0.311,0.0,68.0,0.5,0.165,1.518,1.0,1.0,1.0,0.0,4.0,10.0,5.0,23.0,379.0,0.966,0.466,0.837,2.178,0.886,10601.02472582752,2.4281951219512194,2.180244778972521
14937,311,0.466,0.466,0.0,0.622,68.0,0.7000000000000001,0.561,0.462,1.0,1.0,0.0,1.0,4.0,14.0,17.0,7.0,379.0,1.1660000000000001,0.466,0.9220000000000002,1.744,0.886,10600.232816757765,2.62819512195122,2.225735010845987
11756,311,0.466,0.466,0.311,0.0,68.0,0.7000000000000001,0.198,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,14.0,6.0,18.0,379.0,1.1660000000000001,0.466,0.8700000000000001,1.848,0.886,10599.387389043204,2.62819512195122,2.195963218390805
