,主_数值攻击力,主_百分比攻击力,主_元素伤害,主_暴击率,主_暴击伤害,副_数值攻击力,副_百分比攻击力,副_暴击率,副_暴击伤害,主_百分比攻击力_次数,主_元素伤害_次数,主_暴击率_次数,主_暴击伤害_次数,副_数值攻击力_次数,副_百分比攻击力_次数,副_暴击率_次数,副_暴击伤害_次数,总_数值攻击力,总_百分比攻击力,总_元素伤害,总_暴击率,总_暴击伤害,期望伤害
11561,311,0.466,0.466,0.311,0.0,68.0,0.2,0.363,1.518,1.0,1.0,1.0,0.0,4.0,4.0,11.0,23.0,379.0,0.9420000000000001,0.466,0.871,2.018,8598.1333502064
11582,311,0.466,0.466,0.311,0.0,68.0,0.25,0.363,1.452,1.0,1.0,1.0,0.0,4.0,5.0,11.0,22.0,379.0,0.992,0.466,0.871,1.952,8597.0300608896
11604,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.396,1.32,1.0,1.0,1.0,0.0,4.0,6.0,12.0,20.0,379.0,1.042,0.466,0.9040000000000001,1.82,8596.707128064
14781,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.726,0.66,1.0,1.0,0.0,1.0,4.0,6.0,22.0,10.0,379.0,1.042,0.466,0.923,1.782,8595.101712636797
14780,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.6930000000000001,0.726,1.0,1.0,0.0,1.0,4.0,6.0,21.0,11.0,379.0,1.042,0.466,0.8900000000000001,1.8479999999999999,8594.887223935999
11605,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.42900000000000005,1.254,1.0,1.0,1.0,0.0,4.0,6.0,13.0,19.0,379.0,1.042,0.466,0.937,1.754,8590.915933142398
11603,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.363,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,6.0,11.0,21.0,379.0,1.042,0.466,0.871,1.8860000000000001,8588.342068732798
14761,311,0.466,0.466,0.0,0.622,68.0,0.25,0.792,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,5.0,24.0,9.0,379.0,0.992,0.466,0.9890000000000001,1.7160000000000002,8587.261982091202
11565,311,0.466,0.466,0.311,0.0,68.0,0.2,0.495,1.254,1.0,1.0,1.0,0.0,4.0,4.0,15.0,19.0,379.0,0.9420000000000001,0.466,1.0030000000000001,1.754,8586.6657552
14757,311,0.466,0.466,0.0,0.622,68.0,0.25,0.66,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,5.0,20.0,13.0,379.0,0.992,0.466,0.857,1.98,8586.421443368
14735,311,0.466,0.466,0.0,0.622,68.0,0.2,0.66,0.924,1.0,1.0,0.0,1.0,4.0,4.0,20.0,14.0,379.0,0.9420000000000001,0.466,0.857,2.0460000000000003,8584.863615473601
14782,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.759,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,6.0,23.0,9.0,379.0,1.042,0.466,0.956,1.7160000000000002,8581.1599470848
14779,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.66,0.792,1.0,1.0,0.0,1.0,4.0,6.0,20.0,12.0,379.0,1.042,0.466,0.857,1.9140000000000001,8580.516480982398
14802,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.6930000000000001,0.66,1.0,1.0,0.0,1.0,4.0,7.0,21.0,10.0,379.0,1.092,0.466,0.8900000000000001,1.782,8574.589380824
11625,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.396,1.254,1.0,1.0,1.0,0.0,4.0,7.0,12.0,19.0,379.0,1.092,0.466,0.9040000000000001,1.754,8573.3824300608
11624,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.363,1.32,1.0,1.0,1.0,0.0,4.0,7.0,11.0,20.0,379.0,1.092,0.466,0.871,1.82,8572.069373736
11606,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.462,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,6.0,14.0,18.0,379.0,1.042,0.466,0.97,1.6880000000000002,8570.968483968
11581,311,0.466,0.466,0.311,0.0,68.0,0.25,0.33,1.518,1.0,1.0,1.0,0.0,4.0,5.0,10.0,23.0,379.0,0.992,0.466,0.8380000000000001,2.018,8568.0314749392
14803,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.726,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,7.0,22.0,9.0,379.0,1.092,0.466,0.923,1.7160000000000002,8567.586413758401
14801,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.66,0.726,1.0,1.0,0.0,1.0,4.0,7.0,20.0,11.0,379.0,1.092,0.466,0.857,1.8479999999999999,8567.1487283168
11602,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.33,1.452,1.0,1.0,1.0,0.0,4.0,6.0,10.0,22.0,379.0,1.042,0.466,0.8380000000000001,1.952,8565.820755148798
11560,311,0.466,0.466,0.311,0.0,68.0,0.2,0.33,1.584,1.0,1.0,1.0,0.0,4.0,4.0,10.0,24.0,379.0,0.9420000000000001,0.466,0.8380000000000001,2.084,8562.9448572096
11626,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.42900000000000005,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,7.0,13.0,18.0,379.0,1.092,0.466,0.937,1.6880000000000002,8560.251866812801
11586,311,0.466,0.466,0.311,0.0,68.0,0.25,0.495,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,5.0,15.0,18.0,379.0,0.992,0.466,1.0030000000000001,1.6880000000000002,8558.2124544
11623,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.33,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,7.0,10.0,21.0,379.0,1.092,0.466,0.8380000000000001,1.8860000000000001,8556.3126978384
14783,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.792,0.528,1.0,1.0,0.0,1.0,4.0,6.0,24.0,8.0,379.0,1.042,0.466,0.9890000000000001,1.65,8553.061927279998
14778,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.627,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,6.0,19.0,13.0,379.0,1.042,0.466,0.8240000000000001,1.98,8551.989483775998
14756,311,0.466,0.466,0.0,0.622,68.0,0.25,0.627,0.924,1.0,1.0,0.0,1.0,4.0,5.0,19.0,14.0,379.0,0.992,0.466,0.8240000000000001,2.0460000000000003,8551.5390863552
11645,311,0.466,0.466,0.311,0.0,68.0,0.4,0.363,1.254,1.0,1.0,1.0,0.0,4.0,8.0,11.0,19.0,379.0,1.1420000000000001,0.466,0.871,1.754,8548.2119758992
14824,311,0.466,0.466,0.0,0.622,68.0,0.4,0.6930000000000001,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,8.0,21.0,9.0,379.0,1.1420000000000001,0.466,0.8900000000000001,1.7160000000000002,8546.541382112002
14823,311,0.466,0.466,0.0,0.622,68.0,0.4,0.66,0.66,1.0,1.0,0.0,1.0,4.0,8.0,20.0,10.0,379.0,1.1420000000000001,0.466,0.857,1.782,8546.318185371201
14804,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.759,0.528,1.0,1.0,0.0,1.0,4.0,7.0,23.0,8.0,379.0,1.092,0.466,0.956,1.65,8546.13982712
14800,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.627,0.792,1.0,1.0,0.0,1.0,4.0,7.0,19.0,12.0,379.0,1.092,0.466,0.8240000000000001,1.9140000000000001,8545.2644562368
14734,311,0.466,0.466,0.0,0.622,68.0,0.2,0.627,0.99,1.0,1.0,0.0,1.0,4.0,4.0,19.0,15.0,379.0,0.9420000000000001,0.466,0.8240000000000001,2.112,8543.913263974402
11646,311,0.466,0.466,0.311,0.0,68.0,0.4,0.396,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,8.0,12.0,18.0,379.0,1.1420000000000001,0.466,0.9040000000000001,1.6880000000000002,8542.1856638976
11644,311,0.466,0.466,0.311,0.0,68.0,0.4,0.33,1.32,1.0,1.0,1.0,0.0,4.0,8.0,10.0,20.0,379.0,1.1420000000000001,0.466,0.8380000000000001,1.82,8539.507303008002
11627,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.462,1.122,1.0,1.0,1.0,0.0,4.0,7.0,14.0,17.0,379.0,1.092,0.466,0.97,1.622,8532.677683992
14825,311,0.466,0.466,0.0,0.622,68.0,0.4,0.726,0.528,1.0,1.0,0.0,1.0,4.0,8.0,22.0,8.0,379.0,1.1420000000000001,0.466,0.923,1.65,8532.03359396
14822,311,0.466,0.466,0.0,0.622,68.0,0.4,0.627,0.726,1.0,1.0,0.0,1.0,4.0,8.0,19.0,11.0,379.0,1.1420000000000001,0.466,0.8240000000000001,1.8479999999999999,8531.3640037376
11601,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.29700000000000004,1.518,1.0,1.0,1.0,0.0,4.0,6.0,9.0,23.0,379.0,1.042,0.466,0.8050000000000002,2.018,8529.143187311998
11622,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.29700000000000004,1.452,1.0,1.0,1.0,0.0,4.0,7.0,9.0,22.0,379.0,1.092,0.466,0.8050000000000002,1.952,8526.112402368
11580,311,0.466,0.466,0.311,0.0,68.0,0.25,0.29700000000000004,1.584,1.0,1.0,1.0,0.0,4.0,5.0,9.0,24.0,379.0,0.992,0.466,0.8050000000000002,2.084,8525.164000056
11647,311,0.466,0.466,0.311,0.0,68.0,0.4,0.42900000000000005,1.122,1.0,1.0,1.0,0.0,4.0,8.0,13.0,17.0,379.0,1.1420000000000001,0.466,0.937,1.622,8521.428367003202
11607,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.495,1.122,1.0,1.0,1.0,0.0,4.0,6.0,15.0,17.0,379.0,1.042,0.466,1.0030000000000001,1.622,8521.051113599999
14845,311,0.466,0.466,0.0,0.622,68.0,0.45,0.66,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,9.0,20.0,9.0,379.0,1.1920000000000002,0.466,0.857,1.7160000000000002,8518.0248521456
11666,311,0.466,0.466,0.311,0.0,68.0,0.45,0.363,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,9.0,11.0,18.0,379.0,1.1920000000000002,0.466,0.871,1.6880000000000002,8516.7698752224
11643,311,0.466,0.466,0.311,0.0,68.0,0.4,0.29700000000000004,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,8.0,9.0,21.0,379.0,1.1420000000000001,0.466,0.8050000000000002,1.8860000000000001,8516.071645224001
11665,311,0.466,0.466,0.311,0.0,68.0,0.45,0.33,1.254,1.0,1.0,1.0,0.0,4.0,9.0,10.0,19.0,379.0,1.1920000000000002,0.466,0.8380000000000001,1.754,8515.404570657602
11559,311,0.466,0.466,0.311,0.0,68.0,0.2,0.29700000000000004,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,4.0,9.0,25.0,379.0,0.9420000000000001,0.466,0.8050000000000002,2.1500000000000004,8514.174840600002
14846,311,0.466,0.466,0.0,0.622,68.0,0.45,0.6930000000000001,0.528,1.0,1.0,0.0,1.0,4.0,9.0,21.0,8.0,379.0,1.1920000000000002,0.466,0.8900000000000001,1.65,8510.743227800001
14844,311,0.466,0.466,0.0,0.622,68.0,0.45,0.627,0.66,1.0,1.0,0.0,1.0,4.0,9.0,19.0,10.0,379.0,1.1920000000000002,0.466,0.8240000000000001,1.782,8510.2881262784
14805,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.792,0.462,1.0,1.0,0.0,1.0,4.0,7.0,24.0,7.0,379.0,1.092,0.466,0.9890000000000001,1.584,8510.249620908802
14777,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.5940000000000001,0.924,1.0,1.0,0.0,1.0,4.0,6.0,18.0,14.0,379.0,1.042,0.466,0.7910000000000001,2.0460000000000003,8509.3062323168
14799,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.5940000000000001,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,7.0,18.0,13.0,379.0,1.092,0.466,0.7910000000000001,1.98,8508.936564584
15059,311,0.466,0.466,0.0,0.622,85.0,0.2,0.726,0.726,1.0,1.0,0.0,1.0,5.0,4.0,22.0,11.0,396.0,0.9420000000000001,0.466,0.923,1.8479999999999999,8503.5157528032
11667,311,0.466,0.466,0.311,0.0,68.0,0.45,0.396,1.122,1.0,1.0,1.0,0.0,4.0,9.0,12.0,17.0,379.0,1.1920000000000002,0.466,0.9040000000000001,1.622,8503.116829574401
14826,311,0.466,0.466,0.0,0.622,68.0,0.4,0.759,0.462,1.0,1.0,0.0,1.0,4.0,8.0,23.0,7.0,379.0,1.1420000000000001,0.466,0.956,1.584,8502.794820915202
14755,311,0.466,0.466,0.0,0.622,68.0,0.25,0.5940000000000001,0.99,1.0,1.0,0.0,1.0,4.0,5.0,18.0,15.0,379.0,0.992,0.466,0.7910000000000001,2.112,8502.7878404096
11884,311,0.466,0.466,0.311,0.0,85.0,0.2,0.42900000000000005,1.32,1.0,1.0,1.0,0.0,5.0,4.0,13.0,20.0,396.0,0.9420000000000001,0.466,0.937,1.82,8502.371769672001
14821,311,0.466,0.466,0.0,0.622,68.0,0.4,0.5940000000000001,0.792,1.0,1.0,0.0,1.0,4.0,8.0,18.0,12.0,379.0,1.1420000000000001,0.466,0.7910000000000001,1.9140000000000001,8501.6788372112
11883,311,0.466,0.466,0.311,0.0,85.0,0.2,0.396,1.3860000000000001,1.0,1.0,1.0,0.0,5.0,4.0,12.0,21.0,396.0,0.9420000000000001,0.466,0.9040000000000001,1.8860000000000001,8501.127216595201
11664,311,0.466,0.466,0.311,0.0,68.0,0.45,0.29700000000000004,1.32,1.0,1.0,1.0,0.0,4.0,9.0,9.0,20.0,379.0,1.1920000000000002,0.466,0.8050000000000002,1.82,8499.020915880003
15060,311,0.466,0.466,0.0,0.622,85.0,0.2,0.759,0.66,1.0,1.0,0.0,1.0,5.0,4.0,23.0,10.0,396.0,0.9420000000000001,0.466,0.956,1.782,8496.878136393601
15058,311,0.466,0.466,0.0,0.622,85.0,0.2,0.6930000000000001,0.792,1.0,1.0,0.0,1.0,5.0,4.0,21.0,12.0,396.0,0.9420000000000001,0.466,0.8900000000000001,1.9140000000000001,8496.463285368003
11885,311,0.466,0.466,0.311,0.0,85.0,0.2,0.462,1.254,1.0,1.0,1.0,0.0,5.0,4.0,14.0,19.0,396.0,0.9420000000000001,0.466,0.97,1.754,8489.926238904
14733,311,0.466,0.466,0.0,0.622,68.0,0.2,0.5940000000000001,1.056,1.0,1.0,0.0,1.0,4.0,4.0,18.0,16.0,379.0,0.9420000000000001,0.466,0.7910000000000001,2.178,8489.3813888624
14847,311,0.466,0.466,0.0,0.622,68.0,0.45,0.726,0.462,1.0,1.0,0.0,1.0,4.0,9.0,22.0,7.0,379.0,1.1920000000000002,0.466,0.923,1.584,8488.443253241601
11904,311,0.466,0.466,0.311,0.0,85.0,0.25,0.396,1.32,1.0,1.0,1.0,0.0,5.0,5.0,12.0,20.0,396.0,0.992,0.466,0.9040000000000001,1.82,8488.123674624001
14843,311,0.466,0.466,0.0,0.622,68.0,0.45,0.5940000000000001,0.726,1.0,1.0,0.0,1.0,4.0,9.0,18.0,11.0,379.0,1.1920000000000002,0.466,0.7910000000000001,1.8479999999999999,8487.5330501984
15081,311,0.466,0.466,0.0,0.622,85.0,0.25,0.726,0.66,1.0,1.0,0.0,1.0,5.0,5.0,22.0,10.0,396.0,0.992,0.466,0.923,1.782,8486.5385369088
15080,311,0.466,0.466,0.0,0.622,85.0,0.25,0.6930000000000001,0.726,1.0,1.0,0.0,1.0,5.0,5.0,21.0,11.0,396.0,0.992,0.466,0.8900000000000001,1.8479999999999999,8486.326757376
11882,311,0.466,0.466,0.311,0.0,85.0,0.2,0.363,1.452,1.0,1.0,1.0,0.0,5.0,4.0,11.0,22.0,396.0,0.9420000000000001,0.466,0.871,1.952,8486.1925796736
11648,311,0.466,0.466,0.311,0.0,68.0,0.4,0.462,1.056,1.0,1.0,1.0,0.0,4.0,8.0,14.0,16.0,379.0,1.1420000000000001,0.466,0.97,1.556,8485.940085216
11686,311,0.466,0.466,0.311,0.0,68.0,0.5,0.33,1.1880000000000002,1.0,1.0,1.0,0.0,4.0,10.0,10.0,18.0,379.0,1.242,0.466,0.8380000000000001,1.6880000000000002,8484.004500787201
11905,311,0.466,0.466,0.311,0.0,85.0,0.25,0.42900000000000005,1.254,1.0,1.0,1.0,0.0,5.0,5.0,13.0,19.0,396.0,0.992,0.466,0.937,1.754,8482.4056272384
14866,311,0.466,0.466,0.0,0.622,68.0,0.5,0.66,0.528,1.0,1.0,0.0,1.0,4.0,10.0,20.0,8.0,379.0,1.242,0.466,0.857,1.65,8482.26872864
14865,311,0.466,0.466,0.0,0.622,68.0,0.5,0.627,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,10.0,19.0,9.0,379.0,1.242,0.466,0.8240000000000001,1.7160000000000002,8482.036823859202
11621,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.264,1.518,1.0,1.0,1.0,0.0,4.0,7.0,8.0,23.0,379.0,1.092,0.466,0.772,2.018,8481.4684873248
11903,311,0.466,0.466,0.311,0.0,85.0,0.25,0.363,1.3860000000000001,1.0,1.0,1.0,0.0,5.0,5.0,11.0,21.0,396.0,0.992,0.466,0.871,1.8860000000000001,8479.8642728448
11600,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.264,1.584,1.0,1.0,1.0,0.0,4.0,6.0,8.0,24.0,379.0,1.042,0.466,0.772,2.084,8478.309365222398
11642,311,0.466,0.466,0.311,0.0,68.0,0.4,0.264,1.452,1.0,1.0,1.0,0.0,4.0,8.0,8.0,22.0,379.0,1.1420000000000001,0.466,0.772,1.952,8477.9050025472
11687,311,0.466,0.466,0.311,0.0,68.0,0.5,0.363,1.122,1.0,1.0,1.0,0.0,4.0,10.0,11.0,17.0,379.0,1.242,0.466,0.871,1.622,8477.7430717056
15061,311,0.466,0.466,0.0,0.622,85.0,0.2,0.792,0.5940000000000001,1.0,1.0,0.0,1.0,5.0,4.0,24.0,9.0,396.0,0.9420000000000001,0.466,0.9890000000000001,1.7160000000000002,8476.550436139201
15057,311,0.466,0.466,0.0,0.622,85.0,0.2,0.66,0.8580000000000001,1.0,1.0,0.0,1.0,5.0,4.0,20.0,13.0,396.0,0.9420000000000001,0.466,0.857,1.98,8475.720734088001
11628,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.495,1.056,1.0,1.0,1.0,0.0,4.0,7.0,15.0,16.0,379.0,1.092,0.466,1.0030000000000001,1.556,8475.1817328
11685,311,0.466,0.466,0.311,0.0,68.0,0.5,0.29700000000000004,1.254,1.0,1.0,1.0,0.0,4.0,10.0,9.0,19.0,379.0,1.242,0.466,0.8050000000000002,1.754,8474.960214336
11668,311,0.466,0.466,0.311,0.0,68.0,0.45,0.42900000000000005,1.056,1.0,1.0,1.0,0.0,4.0,9.0,13.0,16.0,379.0,1.1920000000000002,0.466,0.937,1.556,8474.4454337136
15082,311,0.466,0.466,0.0,0.622,85.0,0.25,0.759,0.5940000000000001,1.0,1.0,0.0,1.0,5.0,5.0,23.0,9.0,396.0,0.992,0.466,0.956,1.7160000000000002,8472.7728672768
15079,311,0.466,0.466,0.0,0.622,85.0,0.25,0.66,0.792,1.0,1.0,0.0,1.0,5.0,5.0,20.0,12.0,396.0,0.992,0.466,0.857,1.9140000000000001,8472.1375286784
15102,311,0.466,0.466,0.0,0.622,85.0,0.30000000000000004,0.6930000000000001,0.66,1.0,1.0,0.0,1.0,5.0,6.0,21.0,10.0,396.0,1.042,0.466,0.8900000000000001,1.782,8468.440073783999
11579,311,0.466,0.466,0.311,0.0,68.0,0.25,0.264,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,5.0,8.0,25.0,379.0,0.992,0.466,0.772,2.1500000000000004,8468.427636240001
14740,311,0.466,0.466,0.0,0.622,68.0,0.2,0.8250000000000001,0.5940000000000001,1.0,1.0,0.0,1.0,4.0,4.0,25.0,9.0,379.0,0.9420000000000001,0.466,1.022,1.7160000000000002,8468.1859808
11663,311,0.466,0.466,0.311,0.0,68.0,0.45,0.264,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,9.0,8.0,21.0,379.0,1.1920000000000002,0.466,0.772,1.8860000000000001,8467.618910889601
11925,311,0.466,0.466,0.311,0.0,85.0,0.30000000000000004,0.396,1.254,1.0,1.0,1.0,0.0,5.0,6.0,12.0,19.0,396.0,1.042,0.466,0.9040000000000001,1.754,8467.248064492798
14867,311,0.466,0.466,0.0,0.622,68.0,0.5,0.6930000000000001,0.462,1.0,1.0,0.0,1.0,4.0,10.0,21.0,7.0,379.0,1.242,0.466,0.8900000000000001,1.584,8467.194917888002
14864,311,0.466,0.466,0.0,0.622,68.0,0.5,0.5940000000000001,0.66,1.0,1.0,0.0,1.0,4.0,10.0,18.0,10.0,379.0,1.242,0.466,0.7910000000000001,1.782,8466.499203545602
11924,311,0.466,0.466,0.311,0.0,85.0,0.30000000000000004,0.363,1.32,1.0,1.0,1.0,0.0,5.0,6.0,11.0,20.0,396.0,1.042,0.466,0.871,1.82,8465.951263175999
11906,311,0.466,0.466,0.311,0.0,85.0,0.25,0.462,1.1880000000000002,1.0,1.0,1.0,0.0,5.0,5.0,14.0,18.0,396.0,0.992,0.466,0.97,1.6880000000000002,8462.710130688001
15103,311,0.466,0.466,0.0,0.622,85.0,0.30000000000000004,0.726,0.5940000000000001,1.0,1.0,0.0,1.0,5.0,6.0,22.0,9.0,396.0,1.042,0.466,0.923,1.7160000000000002,8461.5238000944
15101,311,0.466,0.466,0.0,0.622,85.0,0.30000000000000004,0.66,0.726,1.0,1.0,0.0,1.0,5.0,6.0,20.0,11.0,396.0,1.042,0.466,0.857,1.8479999999999999,8461.091532988798
14827,311,0.466,0.466,0.0,0.622,68.0,0.4,0.792,0.396,1.0,1.0,0.0,1.0,4.0,8.0,24.0,6.0,379.0,1.1420000000000001,0.466,0.9890000000000001,1.518,8458.825062977601
14798,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.561,0.924,1.0,1.0,0.0,1.0,4.0,7.0,17.0,14.0,379.0,1.092,0.466,0.758,2.0460000000000003,8458.165053358402
11902,311,0.466,0.466,0.311,0.0,85.0,0.25,0.33,1.452,1.0,1.0,1.0,0.0,5.0,5.0,10.0,22.0,396.0,0.992,0.466,0.8380000000000001,1.952,8457.6274219008
11881,311,0.466,0.466,0.311,0.0,85.0,0.2,0.33,1.518,1.0,1.0,1.0,0.0,5.0,4.0,10.0,23.0,396.0,0.9420000000000001,0.466,0.8380000000000001,2.018,8457.567858907201
14820,311,0.466,0.466,0.0,0.622,68.0,0.4,0.561,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,8.0,17.0,13.0,379.0,1.1420000000000001,0.466,0.758,1.98,8457.262685792
11688,311,0.466,0.466,0.311,0.0,68.0,0.5,0.396,1.056,1.0,1.0,1.0,0.0,4.0,10.0,12.0,16.0,379.0,1.242,0.466,0.9040000000000001,1.556,8456.175927091203
11926,311,0.466,0.466,0.311,0.0,85.0,0.30000000000000004,0.42900000000000005,1.1880000000000002,1.0,1.0,1.0,0.0,5.0,6.0,13.0,18.0,396.0,1.042,0.466,0.937,1.6880000000000002,8454.280051324798
14776,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.561,0.99,1.0,1.0,0.0,1.0,4.0,6.0,17.0,15.0,379.0,1.042,0.466,0.758,2.112,8452.466726604798
11558,311,0.466,0.466,0.311,0.0,68.0,0.2,0.264,1.7160000000000002,1.0,1.0,1.0,0.0,4.0,4.0,8.0,26.0,379.0,0.9420000000000001,0.466,0.772,2.216,8451.823300377602
14848,311,0.466,0.466,0.0,0.622,68.0,0.45,0.759,0.396,1.0,1.0,0.0,1.0,4.0,9.0,23.0,6.0,379.0,1.1920000000000002,0.466,0.956,1.518,8451.1249284704
11684,311,0.466,0.466,0.311,0.0,68.0,0.5,0.264,1.32,1.0,1.0,1.0,0.0,4.0,10.0,8.0,20.0,379.0,1.242,0.466,0.772,1.82,8450.610212352001
11923,311,0.466,0.466,0.311,0.0,85.0,0.30000000000000004,0.33,1.3860000000000001,1.0,1.0,1.0,0.0,5.0,6.0,10.0,21.0,396.0,1.042,0.466,0.8380000000000001,1.8860000000000001,8450.389647374399
